Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,CK1,CK2,CK3,G_Ce1,G_Ce2,G_Ce3,G_Ce4,G_Ce5,G_Co1,G_Co2,G_Co3,G_Co4,G_Co5,G_M_Ce1,G_M_Ce2,G_M_Ce3,G_M_Ce4,G_M_Ce5,G_M_Co1,G_M_Co2,G_M_Co3,G_M_Co4,G_M_Co5,G_M_Ru1,G_M_Ru2,G_M_Ru3,G_M_Ru4,G_M_Ru5,G_Ru1,G_Ru2,G_Ru3,G_Ru4,G_Ru5,S_Ce1,S_Ce2,S_Ce3,S_Ce4,S_Ce5,S_Co1,S_Co2,S_Co3,S_Co4,S_Co5,S_M_Ce1,S_M_Ce2,S_M_Ce3,S_M_Ce4,S_M_Ce5,S_M_Co1,S_M_Co2,S_M_Co3,S_M_Co4,S_M_Co5,S_M_Ru1,S_M_Ru2,S_M_Ru3,S_M_Ru4,S_M_Ru5,S_Ru1,S_Ru2,S_Ru3,S_Ru4,S_Ru5,Soil1,Soil2,Soil3,Soil4,Soil5,SUM
d__Bacteria,k__norank,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcaceae_UCG-013,s__uncultured_Firmicutes_bacterium_g__Ruminococcaceae_UCG-013,OTU355,0,0,0,15,13,1,6,10,12,3,1,5,14,36,0,0,0,0,1,11,0,1,5,0,0,0,0,0,0,0,0,0,0,89,7,64,65,12,74,8,22,31,41,13,0,30,32,0,32,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659
d__Bacteria,k__norank,p__Tenericutes,c__Mollicutes,o__Mollicutes_RF9,f__norank_o__Mollicutes_RF9,g__norank_o__Mollicutes_RF9,s__uncultured_Paenibacillaceae_bacterium_g__norank,OTU46,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
d__Bacteria,k__norank,p__unclassified_k__norank,c__unclassified_k__norank,o__unclassified_k__norank,f__unclassified_k__norank,g__unclassified_k__norank,s__unclassified_k__norank,OTU576,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
d__Bacteria,k__norank,p__unclassified_k__norank,c__unclassified_k__norank,o__unclassified_k__norank,f__unclassified_k__norank,g__unclassified_k__norank,s__unclassified_k__norank,OTU571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
d__Bacteria,k__norank,p__unclassified_k__norank,c__unclassified_k__norank,o__unclassified_k__norank,f__unclassified_k__norank,g__unclassified_k__norank,s__unclassified_k__norank,OTU570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
d__Bacteria,k__norank,p__unclassified_k__norank,c__unclassified_k__norank,o__unclassified_k__norank,f__unclassified_k__norank,g__unclassified_k__norank,s__unclassified_k__norank,OTU573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
d__Bacteria,k__norank,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__norank_f__Peptococcaceae,s__uncultured_rumen_bacterium_g__norank_f__Peptococcaceae,OTU3256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,36,47,116,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,20,97,298,81,0,0,0,0,1,0,0,0,0,0,891
d__Bacteria,k__norank,p__Cyanobacteria,c__Cyanobacteria,o__Gastranaerophilales,f__norank_o__Gastranaerophilales,g__norank_o__Gastranaerophilales,s__unclassified_g__norank_o__Gastranaerophilales,OTU2209,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
d__Bacteria,k__norank,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Anaerotruncus,s__unclassified_g__Anaerotruncus,OTU2247,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,4,11,2,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
d__Bacteria,k__norank,p__Chloroflexi,c__JG30-KF-CM66,o__norank_c__JG30-KF-CM66,f__norank_c__JG30-KF-CM66,g__norank_c__JG30-KF-CM66,s__uncultured_Anaerolineales_bacterium_g__norank_c__JG30-KF-CM66,OTU4378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,2,18
d__Bacteria,k__norank,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotellaceae_UCG-003,s__uncultured_rumen_bacterium_g__Prevotellaceae_UCG-003,OTU1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,9,2,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
