gene,N1,N2,N3,N4,T1,T2,T3,T4
WDR74,62051.4,55642.02,95407.3,52992.4,0.0001,0.0001,0.0001,0.0001
S100A8,2863.41,3258.2865,5895.95,3103.13,56.6184,6.156507,5.331123,8.9179545
MT-CO1,1382.64,1987.6185,3148.1,1892.97,0.0001,0.0001,0.0001,0.0001
HIST1H4A,769.896,871.78665,1986.44,830.273,193.951,213.24555,201.57165,165.89475
CA1,630.517,568.9698,1332.36,541.876,8.04587,0.91090125,0.5686107,2.0619165
SPARC,440.993,1078.2345,218.947,1026.89,0.0001,0.0001,0.0001,0.0001
S100A12,435.082,572.6805,1408.81,545.41,5.59473,0.2195865,0.8750364,0.3389841
IGJ,393.979,337.52985,393.665,321.457,160.373,4.9941045,53.3589,5.2092705
LEPR,324.902,236.87475,202.376,225.595,171.055,72.40737,77.455875,68.529825
ADH1B,315.623,42.161595,30.2709,40.1539,93.7305,5.1410835,13.54542,18.861255
MPO,227.977,291.8328,419.595,277.936,0.93935,0.16822995,0.000105,0.84048825
AHNAK,217.279,128.0622,102.918,121.964,0.0001,0.0001,0.0001,0.0001
CAT,207.176,195.363,293.322,186.06,67.0211,37.666965,41.718915,31.715355
GPD1,206.238,48.96654,18.3167,46.6348,69.7737,10.91391,10.990875,14.845005
SPP1,197.824,435.44235,138.361,414.707,1955.2,2531.487,2802.009,3298.659
CLU,185.677,157.87275,134.354,150.355,5490.21,1544.781,3195.6855,11603.025
DCN,180.01,350.99295,231.923,334.279,3431.83,1313.5185,2445.891,5766.432
FP15737,176.216,153.89955,444.848,146.571,30.2281,11.074245,12.294345,26.392905
PRG2,173.425,197.2929,498.662,187.898,19.2597,18.600435,23.8203,20.59806
TFRC,164.632,158.23605,185.488,150.701,22.7449,29.493975,19.38468,40.25595
HIST1H4L,156.56,162.9096,381.514,155.152,19.1445,27.570165,19.917555,14.333025
SLC25A15,148.732,3.778173,3.28209,3.59826,2.38027,3.7355745,2.901087,3.4458795
ADIPOQ,144.362,45.434865,13.5412,43.2713,59.0411,3.111108,12.683685,6.8074965
SORBS1,124.993,46.335975,23.0851,44.1295,45.2365,6.766452,8.637825,5.898228
SERPINF1,119.953,151.6998,112.418,144.476,304.763,645.9453,620.4891,517.99335
ENO1,117.131,130.69245,175.764,124.469,169.164,426.9615,263.81145,636.08055
S100A4,116.335,125.37945,184.916,119.409,305.088,539.36085,697.54335,613.29345
SELENBP1,115.399,87.299205,208.311,83.1421,37.2141,30.01152,24.452085,27.693225
PKM,114.214,118.2825,176.433,112.65,203.79,374.59695,275.35725,437.1486
DNASE1L3,108.367,87.9543,110.899,83.766,121.053,12.39189,47.52279,13.382145
SNCA,105.121,90.910995,222.542,86.5819,17.469,3.1878945,4.6531485,8.910195
MKRN1,100.529,78.36339,225.913,74.6318,30.9942,27.9699,20.38659,32.226915
UROD,99.258,97.44966,180.127,92.8092,25.9021,30.18519,34.432125,30.76626
GCA,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
EPB41,97.738,87.67122,221.184,83.4964,21.4157,6.596562,4.176039,12.300855
PRKAR2B,97.5312,32.987325,26.9241,31.4165,28.3835,3.814104,8.318856,5.6102655
LUM,97.4874,378.60375,126.795,360.575,1716.8,1993.656,3216.654,5872.104
RETSAT,97.3031,29.390655,22.9139,27.9911,44.4505,16.01082,21.457275,21.05439
USP15,96.4992,106.31355,153.825,101.251,42.4614,32.95551,36.61098,31.78917
MAOA,94.8625,24.489885,18.3006,23.3237,31.4506,4.3815765,15.90813,6.165684
COL3A1,91.3767,170.6376,110.708,162.512,0.0001,0.0001,0.0001,0.0001
HBA1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
COL1A2,90.9849,589.93515,113.113,561.843,0.0001,0.0001,0.0001,0.0001
MGP,89.2451,200.82405,119.37,191.261,1593.4,609.1218,999.05295,1616.7585
FN1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
FMO2,85.7155,36.67167,42.5675,34.9254,48.3367,3.1727535,9.794421,4.646649
EMP1,80.6115,92.961645,41.0063,88.5349,138.848,149.13255,212.1525,279.43965
LDHA,75.2822,80.348835,101.117,76.5227,148.722,269.7051,200.8692,437.5266
RBP7,74.9411,61.73748,75.0312,58.7976,69.966,11.56659,21.093345,12.8772
ANXA3,74.5234,85.70982,142.506,81.6284,5.6088,0.57684375,1.370229,0.56842905
ACACB,70.2203,46.230135,57.7973,44.0287,60.2606,19.122075,51.968805,20.107395
CSF3R,68.694,76.037325,148.721,72.4165,12.0541,5.3242665,4.1802285,3.4769175
MMD,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
MT1X,67.1142,8.418165,12.9459,8.0173,128.902,33.0309,272.8929,216.552
CHRDL1,65.9184,50.78871,38.9162,48.3702,33.8983,3.0356235,12.34821,5.490366
FOS,64.7025,18.140535,229.352,17.2767,581.951,263.4072,44.752365,476.0889
RARRES2,64.5853,27.25464,22.0369,25.9568,35.697,17.332875,8.90694,13.74618
LMNA,59.4415,49.86996,55.6563,47.4952,117.194,213.07545,205.233,233.52525
MMP9,59.1592,106.63695,240.932,101.559,235.42,601.80015,444.90495,423.4797
S100A10,59.1335,38.307885,52.448,36.4837,132.049,250.1205,310.0755,290.1066
ATP8B4,58.4977,61.010565,52.5187,58.1053,18.9501,6.844593,6.7204095,7.5417825
AOC3,57.3405,22.903545,11.6987,21.8129,25.264,7.8158115,10.55355,9.075108
CD44,57.2046,63.68355,91.735,60.651,96.7271,126.43575,183.52845,187.42815
TMCC2,55.8342,43.9047,134.97,41.814,1.93644,1.5643005,0.61258995,1.909677
PCOLCE2,54.1995,21.56133,17.5031,20.5346,162.267,100.527735,85.36941,238.7721
LSP1,53.8542,77.398965,86.4535,73.7133,109.722,159.72495,113.91345,216.0459
FGFR1,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
COL6A2,53.1416,74.519235,57.4736,70.9707,283.718,641.0817,742.224,707.8722
MORF4L2,52.0194,47.875905,44.7598,45.5961,94.7589,148.0647,117.98535,157.20915
NPTN,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
CIDEA,51.381,4.270455,8.53301,4.0671,18.6721,0.88136475,6.1643715,3.439821
HCLS1,51.077,52.294725,81.5821,49.8045,24.2296,23.200695,33.040455,18.500895
ANGPT1,50.8707,36.806805,32.3024,35.0541,26.5336,12.29907,16.59735,10.33557
NUSAP1,50.7993,43.45677,81.3547,41.3874,3.46982,8.842701,7.0080465,5.2662435
EIF1AY,49.9207,46.211025,60.8785,44.0105,15.8318,10.959165,10.74927,15.286845
BPGM,49.8336,43.678425,62.0834,41.5985,7.87133,10.245984,11.527635,15.618015
C14orf80,49.3744,31.49643,36.3566,29.9966,91.868,93.640155,211.5834,278.0946
CCDC80,48.2735,44.943465,28.8274,42.8033,168.073,219.77025,143.64945,143.6946
C1R,47.3165,94.642905,88.1743,90.1361,288.148,392.62125,413.9583,252.92505
ITGA4,47.2028,48.94869,67.6438,46.6178,9.35485,10.61739,6.78783,6.2734455
MYO1F,46.6029,45.83985,83.5861,43.657,11.4689,8.6548455,8.2613265,9.311463
IVNS1ABP,46.4181,57.283275,58.6207,54.5555,114.272,72.220365,72.69948,225.6135
NTRK2,46.1615,27.59001,18.2346,26.2762,26.4421,10.77447,15.694875,9.2352225
MAN2A2,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
FMO3,45.5796,37.39491,38.1139,35.6142,19.6798,5.1112425,8.537277,3.745224
ABCA8,44.6049,36.20967,28.1032,34.4854,41.0715,7.211421,15.01374,7.4608275
MINOS1,44.112,43.48596,40.2975,41.4152,101.487,182.34405,174.0018,233.2722
CPE,44.04,109.1601,22.2126,103.962,225.659,361.1685,254.3646,322.39515
DST,42.4089,42.05523,26.0509,40.0526,76.6574,108.9102,86.286165,165.61965
PTK2B,42.3569,46.446225,62.5433,44.2345,16.8845,9.636879,15.30228,11.117295
SDC2,42.1534,37.452345,13.452,35.6689,164.797,191.2848,199.9977,317.8917
MZB1,42.0182,26.70843,81.1957,25.4366,12.7543,0.8848035,3.47067,0.8389815
CLEC12A,41.6873,48.63306,88.714,46.3172,8.39833,2.073372,2.2274385,2.180346
COL1A1,41.6338,795.1608,55.1363,757.296,0.0001,0.0001,0.0001,0.0001
TMC6,40.9004,39.053595,56.4005,37.1939,12.762,6.9174945,4.364199,4.2450765
KCNIP2,40.8214,5.965722,11.2587,5.68164,14.6808,1.7916255,3.5968065,2.1520275
CFH-CFHR1-CFHR2,39.2943,54.317235,34.7594,51.7307,383.143,131.397,204.7542,378.0189
ATP1A2,39.0054,13.88415,11.3853,13.223,14.0701,0.7467915,3.1564995,1.2411525
COL6A1,38.7549,57.135225,47.5946,54.4145,130.064,356.8173,482.76165,431.42085
PAM,38.4146,37.23783,24.4683,35.4646,152.173,205.62675,182.2905,215.1219
HTRA1,38.2778,50.7171,24.3684,48.302,338.406,851.823,607.5069,1068.081
ARF4,38.1576,42.96831,47.1219,40.9222,58.3192,157.06425,89.7729,105.3885
ABCB10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
ANKH,37.422,31.004295,32.0934,29.5279,114.82,121.359,119.3178,306.18945
DDC8-TIMP2,36.7785,50.66208,26.6826,48.2496,108.026,157.3236,129.05445,156.36285
DMTN,36.4308,27.81597,76.5851,26.4914,4.48364,0.54052215,0.6493116,1.04356875
CTC-490E21.12,36.0295,36.365595,50.2432,34.6339,152.048,125.47185,94.410855,266.637
SERPINA1,34.5572,26.6343,71.4115,25.366,271.873,47.95056,68.266695,376.7106
TGFBI,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
DAGLB,33.7208,40.44453,39.0196,38.5186,60.0184,152.37285,97.90599,125.02035
SORL1,33.561,36.316665,61.966,34.5873,8.35687,4.382994,4.8302835,4.225011
BIN2,33.3056,38.719275,79.2577,36.8755,6.43437,5.3196045,5.464914,4.528461
CHL1,33.2091,41.58273,56.0952,39.6026,28.7771,2.8641795,7.8626625,9.6747
PRDX4,31.4094,33.72432,34.736,32.1184,72.1992,180.85095,97.99797,138.04665
TNC,30.8597,77.242725,30.2887,73.5645,202.346,558.8058,340.1853,745.94415
NLRC5,30.7226,42.565425,50.646,40.5385,15.8458,10.579695,9.5475765,8.2494195
C7,30.612,51.496095,64.7791,49.0439,40.8901,2.804046,19.280835,7.2722895
MAGED2,30.4,41.648565,29.9557,39.6653,77.0547,152.05575,88.371675,155.30865
EMP3,30.2467,28.432845,47.4234,27.0789,56.5376,99.331365,115.374,130.92135
LPCAT2,30.0244,74.51619,53.5725,70.9678,141.129,504.735,360.52485,136.9977
LTBP1,29.8679,34.40052,32.6385,32.7624,47.2461,66.90306,70.609875,112.61145
SEMA3G,29.3291,9.689778,8.89327,9.22836,17.9816,3.1882935,6.7000605,4.2684705
TIMP1,29.3025,38.69775,59.2578,36.855,154.467,430.8003,321.32415,293.3427
SERPINH1,29.2952,31.027815,26.4824,29.5503,73.6522,273.62055,138.25875,142.2855
THBS1,29.2248,78.47784,55.8962,74.7408,78.4882,90.438285,166.0092,212.6733
OSTC,28.4838,42.32865,32.6492,40.313,55.1952,138.8205,93.3093,99.290205
IKZF1,28.4291,33.30558,47.2519,31.7196,5.64662,3.3008745,4.8744675,2.345994
CALU,28.2707,32.014185,24.2561,30.4897,57.7496,149.247,124.5867,164.0625
UNC13D,27.6569,23.26254,38.8593,22.1548,5.15924,3.0887535,4.435914,3.1272465
NBEAL2,27.5453,30.71313,34.7405,29.2506,6.95641,3.691485,4.8486795,4.8609225
BTNL9,27.2423,15.42282,16.6168,14.6884,22.4482,2.12268,3.1253145,2.2930215
TSPAN32,26.7419,29.51844,26.0144,28.1128,4.24404,1.3576395,2.9628165,2.7085065
DENND3,26.6774,38.713605,44.8444,36.8701,14.4176,10.4153805,14.44023,14.818335
CTGF,25.3851,33.621945,29.6027,32.0209,329.73,181.4127,510.04695,826.1337
VRK1,25.3091,26.43396,38.4743,25.1752,8.90433,5.447673,9.309363,5.983236
COPZ2,25.2112,20.82507,9.25973,19.8334,49.1872,154.05915,91.35756,114.5172
BMP5,24.5137,22.47357,22.2539,21.4034,19.4487,0.9404136,3.204243,2.815533
