,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49
gene_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3417581,0,0,0,0,0,0,0,0,0.6315234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_1,2.0172093,0.5927321,3.511759,3.6636179,2.6557411,3.4678533,1.2249664,2.8548534,3.9921249,3.6424936,3.4920711,2.9411814,3.9703475,1.5510484,1.9648422,2.9013786,3.4609129,3.0045194,1.5414653,4.1675827,2.0669158,3.5297835,1.1318528,3.1218443,4.8018519,4.317702,2.3252425,0.6570912,3.6700812,5.6882951,2.662479,2.0907857,0,0,3.1902198,2.4647205,3.3842433,4.4162588,0,0,3.7293787,3.0263752,4.6188612,3.757322,3.4724098,3.0920552,1.1492594,3.44619,3.768449,4.5778216
gene_2,3.2655269,1.5884208,4.3271987,4.5076488,2.821547,3.5819176,1.6911768,1.7504779,2.7727302,4.423558,3.5533728,2.6632763,2.3642923,3.5298459,2.18301,3.6853683,3.6184736,3.0071776,2.5415396,3.8413895,2.6199529,2.9767119,2.3515153,2.4739427,2.6484654,3.6426785,3.247092,1.0263043,3.3827917,4.899949,2.7428686,3.7691158,2.499578,1.6331522,5.6901908,3.25408,2.6736243,4.1889785,2.7227502,2.5365254,2.2938707,4.3641031,5.6489859,3.2310483,3.0074646,2.2103265,2.5753849,3.6209617,2.7361719,3.8002373
gene_3,5.478487,7.586157,6.881787,6.659068,6.539454,6.620243,6.572007,7.22672,6.546692,6.849511,7.151707,6.56169,7.145443,6.326825,6.596832,6.669665,5.661048,6.524205,6.843255,6.976123,6.757997,6.038416,6.845841,7.119616,6.009255,6.790003,8.174007,5.411196,7.581939,10.129528,6.39497,6.221676,6.950748,6.641754,5.770615,6.326744,6.679832,6.664198,7.266609,6.924314,6.50571,7.164917,6.585819,6.722958,6.662462,5.884849,7.397529,7.171917,6.698538,7.28078
gene_4,10.431999,9.623011,9.87073,10.196184,9.738265,9.706829,9.640511,9.758691,10.488252,9.464466,10.253446,9.376293,9.240605,10.633849,10.248141,9.999098,9.731217,9.062661,9.444468,9.982252,11.12394,9.437973,9.19686,10.73249,9.611917,8.435999,10.065053,9.601388,9.386658,10.093695,10.323438,9.662848,9.390092,9.893421,9.207844,10.193969,8.94676,9.070819,9.978038,10.790129,8.555398,9.552402,9.995287,9.184962,9.18846,10.165234,10.284535,9.796559,10.002281,10.153223
gene_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene_6,7.175175,6.816049,6.97213,7.843375,6.566967,7.75851,6.754888,5.952103,7.690222,7.947216,8.301258,7.860323,7.810758,8.944659,7.087251,6.948834,8.435591,7.995937,5.479091,6.977372,5.415674,5.893828,7.853827,5.506031,6.38136,8.573628,7.487446,6.263874,7.140523,7.389902,8.263105,6.688922,5.018937,7.941787,8.206262,6.063324,6.554681,7.915318,10.219132,7.324964,7.798459,7.90352,9.134806,7.83394,7.974988,6.476166,6.313835,8.175245,7.708953,7.183417
gene_7,0.5918709,0,0.4525954,0.4348817,0.3609822,0,0.531868,0,0.3523066,0.7242137,0,0.7541179,0,0,0.4414835,0,1.0336521,1.6874191,0,0,0,0,0.4627853,0,0.9024981,1.2160513,0,0,0,0.3952822,0,0,0,0,1.069221,0,0.4547023,0.9062749,0.7657045,0,0.7429548,0.6388616,0.4784024,0.4956952,0.4252444,0.5704629,0,1.9725089,0.7685019,0
gene_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434775,0
gene_9,0,0,0,0,0,0,0,0,4.067604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
