#GC	Depth
48	54.3
39	75.9
42.2	83.64
40.8	82.28
50.8	97.73
42.6	84.11
45.4	74.85
37	69.79
40.2	81.75
44.2	99.18
42	99.82
40.2	68.25
41.8	47.73
40.8	75.59
41.4	77.99
39.8	68.38
41.2	80.79
44.2	74.74
40.2	66.88
36.4	64.04
43.2	71.79
44.4	68.38
38.2	62.45
46.4	83.7
43	86.31
40.8	66.49
42.8	48.37
40.6	69.02
42.6	67.64
42.6	76.16
41.2	66
42.8	64.54
39.8	67.28
40.2	59.65
40	68.37
38.6	73.54
40.8	64.38
36.4	56.85
42.6	65.24
39.2	69.38
41.4	39.09
41.2	65.74
42.6	58.27
40.2	50.12
41.8	67
38.4	62.3
38.8	81.8
41.2	72.57
38.2	64.93
36.2	64.98
38.4	53.84
42.6	66.22
40.8	83.08
39.6	73.29
43.2	84.93
41.2	68.64
38.8	65.24
41.8	46.81
45.8	79.33
41.6	86.91
48.4	101.41
42	93.17
43	53.7
43	51.28
41.6	102.24
46.2	101.79
45.4	107.49
37.8	78.55
43.4	41.7
38.6	69.74
43.4	77.48
42.2	56.91
42.4	89.47
40.8	66.68
39.4	76.58
40	69.39
36.8	67.04
37.6	63.64
34.2	51.68
42	59.19
44.8	76.95
41.2	71.82
40.4	75.75
37.4	69.74
41.6	68.29
44	75.93
42.2	68.36
44.4	65.96
38.4	66.88
39.6	57.84
36.6	57.65
41.4	39.09
39.6	84.11
39.4	76.71
44.6	96.51
45.6	100.89
43.2	81.21
41.6	80.15
44.8	92.03
45	96.25
46.2	76.37
50	97.47
47.2	88.65
46.4	99.58
45.4	75.11
41.2	63.59
46.4	95.54
45	87.64
45.2	101.28
38.8	73.92
50.6	97.52
49	100.58
47.4	99.29
48.4	84.84
44	86.15
43.2	82.41
48.4	93.28
41.2	71.46
46.8	102.43
48	102.36
49.2	114.53
46.6	79.72
50.4	100.1
47.6	99.55
40.6	61.26
47.2	109.43
47.2	123.58
52	103.53
39.8	62.46
44.2	71.8
48.2	93.14
50.4	112.28
48.8	111.95
46	111.4
40.8	85.74
44	79.07
47.4	99.01
47.2	104.52
47.2	111.16
49.4	108.45
46.4	102.11
44.2	98.43
37.8	77.12
46	82.74
48.8	100.78
43.8	91.31
47.4	98.04
45.8	92.84
42.8	85.48
41.6	85.24
47	89.16
42.4	103.6
45.6	90.25
45.8	80.1
46.8	96.19
42.4	98.49
45.6	90.76
43.2	107.08
45	74.82
45.4	93.11
45	101.11
43.4	103.63
47.2	111.53
44	95.06
45	88.75
39.6	88.91
45	95.12
46.2	85.79
47.2	101.54
50.2	123.29
48	113.64
51.4	88.07
43	91.2
40	74.44
46.2	101.56
47.8	105.54
43	69.39
45.2	105.83
43.6	77.35
43.2	96.78
46.2	104.64
41.2	86.12
42.8	98.97
38.6	75.86
41	80.25
45.2	91.43
46.6	77.33
43	97.1
44.4	93.49
45	99.51
47.2	93.07
46.8	90.61
44	82.79
36.6	68.35
39.6	42.62
41	78.2
41.4	69.84
42	71.83
41.8	90.62
39.4	90.87
43.8	97.75
45.2	73.49
40	76.72
43	81.01
44	94.96
41.2	74.62
42.8	99.93
41.8	92.98
42.8	77.02
39	81.03
47.8	84.18
47	88.26
44.4	91.53
46.4	93.15
43.6	85.78
46	87.61
47	88.09
48.8	101.85
48	101.34
46	106.01
50	103.56
45.8	92.96
44	88.86
45	77.6
40.4	58.37
45.2	67.52
46.6	78.36
49.6	86.2
42.8	69.09
46.6	73.91
43.6	93.49
46.8	93.19
50.2	79.49
47.8	92.55
42.6	91.22
44.2	80.18
44.4	79.22
41.8	76.09
47	101.92
41.4	73.87
45.8	89.44
42.8	78.08
43.8	89.25
43.8	65.11
41.2	68.25
50.8	77.29
46.6	91.32
38.6	72.33
47.8	90.84
47.6	106.86
46.2	76.49
47.2	97.41
50.2	116.16
43	91.99
43.2	96.13
43.4	87.12
44.2	82.67
44.2	81.13
44.4	85.51
42.4	65.89
41.8	80.26
44.2	74.05
47.6	95.56
45	113.57
43.8	78.91
41.4	67.97
37.4	45.22
36.8	62.29
44	83.74
39.6	72.93
48.4	119.14
49.4	102.35
45.2	87.33
44.8	80.8
48.2	94.68
46.6	106.26
42.6	72.29
45.6	82.75
48.6	88.6
41.4	71.58
49.4	89.03
47.2	82.7
46	81.99
47.2	86.1
50.2	93.33
46.8	94.6
46.6	102.86
43.2	76.69
41	75.44
41.4	88.6
47.6	114.25
48.2	80.07
43.2	86.43
35.6	88.75
49.8	88.69
48.4	84.65
49	88.8
48	77.15
48.6	89.29
48.2	91.39
49	87.06
47.4	82.8
46.8	89.46
45	63.31
47.8	81.38
47.8	78.92
48.6	81.08
47.8	81.3
44.2	92.24
45.4	74.22
46.4	81.31
42.8	88.61
44.4	96.91
46	102.56
47.4	74.44
46.2	79.27
41.8	91.72
42.6	79.21
47.4	80.95
46.2	87.2
46.4	72.02
45.4	82.91
41.6	75.26
40.4	85.11
42.2	74.6
44.2	86.63
42.8	85.66
43	84.87
49.6	85.39
46.2	78.89
39.2	62.19
44.6	83.65
43.8	72.42
39.8	78.66
38.8	74.71
46	97.54
46.2	82.45
48.4	86.72
46	83.33
49	82.98
48.8	99.25
47.4	97.2
44.6	69.57
42	74.69
45.2	88.49
42	92.86
43.4	73.08
47.2	90.68
35.6	61.95
26.6	49.69
40	72.6
50	84.43
46.6	95.08
44.2	81.81
48	77.08
45.4	96.5
47.2	105.41
45.6	92.31
48	104.93
48.8	109.23
45.2	89.66
47.2	84.73
47.2	82.83
46	82.9
48	89.76
42.4	96.34
46.2	82.49
49.6	105.85
43.2	77.2
43.6	85.56
46.8	89.87
48.6	101.32
48.6	94.86
49.6	92.5
44.4	94.76
29	48.41
42	83.99
50	87.91
47.6	80.94
51.8	92.13
50.2	90.33
48	97.73
48.8	109.48
47	107.6
48.4	91.08
47.2	101.58
42.2	91.99
42.8	70.02
43.4	94.03
44.8	90.62
43.4	79.87
30	65.33
50.4	104.04
44.8	86.05
47.4	100.39
46.4	101.4
48.4	60.02
47.8	82.37
47.6	97.79
47.8	83.53
46.2	88.94
44.2	88.68
48.2	92.36
47.6	90.14
49.8	97.47
47.2	92.19
51	103.39
53.2	106.37
46.6	97.56
50.2	105.88
45.2	99.49
44.6	90.03
48.8	97.8
39.2	76.68
48.8	106.02
50.2	106.68
49	99.4
47.6	89.85
48.2	99.25
47.6	99.55
49.2	95.67
46.6	77.88
48.8	88.67
47.6	80.57
44.8	80.86
40	97.78
39.6	80.27
41.6	70.03
49.2	98.15
47.6	92.27
48	70
47.6	98.17
45.4	99.99
38.4	64.75
44.2	89.54
46.8	82.35
45.2	84.91
44.6	97.62
45	88.26
41	79.54
39.4	64.18
42.4	65.1
48	76.49
48.8	93.85
42	67.26
43.6	76.23
44	73.64
38.8	69.35
42.2	73.22
42.2	82.68
41.2	64.98
44.2	80.8
45	74.43
41.6	81.72
47.2	84.43
44.6	88.39
43.4	99.43
43.8	80.65
44.2	98.52
44.8	82.66
48.8	95.48
49.2	72.67
46.8	88.79
48.8	98.43
46.6	94.11
47.6	97.41
48.4	90.3
46	111.56
47.2	90.94
47.4	95.39
46.8	85.46
45.6	94.39
44.8	85.09
47.6	87.56
47	89.6
48.4	88.47
49.2	112.24
45.8	96.3
47.4	108.84
46.8	88.26
47.6	88.55
45.2	96.93
46.8	82.18
46	98.35
48.6	100.06
43.2	99
45	86.6
49.8	93.86
43.6	91.96
41.4	76.03
42.2	82.32
37.6	42.67
43.4	78.38
48.8	101.09
50.6	101.31
47.2	98.94
43.8	78.75
41.4	74.46
46.6	92.21
43	81.7
45.8	95.75
43.4	82.82
43.8	69.53
43.2	77.13
41.6	78.08
47.8	72.81
46.4	81.35
45.6	87.98
46	88.22
46.8	67.98
48.4	83.85
47.6	76.68
41.8	72.11
47.6	68.19
48.6	93.31
46.4	91.51
46.8	90.15
47.6	98.53
48.6	85.41
45.2	79
42.8	69.11
46.2	90.56
41.6	59.76
42.6	74.66
42.2	70.91
43.8	71.37
40.2	74.32
43.2	80.5
40.8	71.96
44.8	71
42.4	69.54
43.4	61.52
46.2	80.69
40	58.75
47.4	83.46
38	73.53
41	81.97
41.8	74.33
44	85.71
41	84.69
