#Organism/Name	Size (Mb)	GC%	Genes	Proteins
Enterococcus faecium DO	2.84838	37.9	2823	2541
Burkholderia graminis C4D1M	7.47726	62.9	6618	6331
Vibrio sagamiensis NBRC 104589	4.55758	40.7	3904	3787
Vibrio jasicida MWB 21	5.96756	45.2	5311	5159
Candidatus Carsonella ruddii PV	0.159662	16.6	213	182
Azorhizobium caulinodans ORS 571	5.36977	67.3	4812	4667
Methylophaga thiooxydans DMS010	3.04765	46.2	3134	3028
Diplosphaera colitermitum TAV2	5.6715	60.9	4916	4514
Rickettsia peacockii str. Rustic	1.3149	32.6422	984	947
Candidatus Hodgkinia cicadicola Dsem	0.143795	58.4	188	169
Listeria marthii FSL S4-120	2.88455	36.8	2969	2963
Mycoplasma suis str. Illinois	0.742431	31.1	865	814
Candidatus Nitrosopumilus salaria BD31	1.57296	33.8	1874	1660
Candidatus Zinderia insecticola CARI	0.208564	13.5	236	206
gamma proteobacterium IMCC2047	2.23402	48.6	2284	2263
Candidatus Nitrosoarchaeum limnia BG20	1.85556	32.5	2200	1850
Candidatus Tremblaya princeps PCIT	0.138927	58.8	160	121
Leptothrix ochracea L12	0.510792	58	503	413
Candidatus Mycoplasma haemolamae str. Purdue	0.756845	39.3	961	925
Candidatus Haloredivivus sp. G17	1.1986	42	2259	2228
Mycoplasma wenyonii str. Massachusetts	0.650228	33.9	714	678
Serratia plymuthica PRI-2C	3.91916	55.8	3610	3533
Pseudomonas gingeri NCPPB 3146	7.66664	62.3	6833	6208
Klebsiella cf. planticola B43	4.47933	56.3	4255	3613
Streptomyces xinghaiensis S187	6.79052	72.5	5852	4998
Bacillus psychrosaccharolyticus ATCC 23296	4.59045	38.8	4584	4184
Bacillus vallismortis DV1-F-3	3.87621	43.8	4068	3697
Clostridium tunisiense TJ	4.30839	31.2	3936	3766
Clostridium diolis DSM 15410	5.85389	29.7	5084	4902
Enterobacter mori LMG 25706	4.96022	55.3	4660	4456
Corynebacterium timonense 5401744	2.59042	66.6	2336	2199
Nocardia abscessus NBRC 100374	8.4104	68.2	7627	7252
Nocardia araoensis NBRC 100135	7.72254	68.4	7023	6611
Nocardia asiatica NBRC 100129	8.46132	68.4	7833	7308
Nocardia brevicatena NBRC 12119	7.00717	67	6500	5983
Nocardia carnea NBRC 14403	7.49294	67.1	6829	6491
Nocardia cerradoensis NBRC 101014	7.60233	68.2	7057	6545
Nocardia concava NBRC 100430	8.93335	67.7	8348	7945
Nocardia exalbida NBRC 100660	7.36799	68.6	6648	6336
Nocardia higoensis NBRC 100133	6.98071	69.3	6253	5925
Nocardia jiangxiensis NBRC 101359	10.4459	66.8	9495	9092
Nocardia niigatensis NBRC 100131	8.22421	68.2	7520	7195
Nocardia otitidiscaviarum NBRC 14405	7.48255	69	6794	6441
Nocardia paucivorans NBRC 100373	6.00107	66.6	5281	4995
Nocardia pneumoniae NBRC 100136	7.5882	68.1	6602	6360
Nocardia takedensis NBRC 100417	8.03387	69.5	7068	6689
Nocardia tenerifensis NBRC 101015	9.73157	68.4	8998	8315
Nocardia testacea NBRC 100365	7.26841	68.5	6713	6281
Nocardia thailandica NBRC 100428	6.82183	71.6	6450	6064
Nocardia veterana NBRC 100344	6.78521	68.2	6080	5733
Nocardia vinacea NBRC 16497	10.1553	65.5	9171	8634
Nocardia transvalensis NBRC 15921	8.3833	69.2	7701	7380
Lactobacillus ingluviei str. Autruche 4	2.01383	50.9	1936	1825
Methanobrevibacter boviskoreani JH1	2.0458	29	1766	1705
Moritella sp. PE36	5.22309	41	4705	4418
Beggiatoa sp. PS	7.63154	38.2	6676	6644
Sulfurihydrogenibium yellowstonense SS-5	1.53447	32.8	1574	1309
Paenibacillus sonchi X19-5	7.50728	50.4	6794	5967
Paenibacillus riograndensis SBR5	7.40722	51.4	6535	5748
Wolbachia endosymbiont of Muscidifurax uniraptor	0.867873	35.2	850	680
Wolbachia endosymbiont str. valsugana of Drosophila suzukii	1.41535	35.2	1314	1211
Bartonella queenslandensis AUST/NH15	2.37786	38.9	1917	1548
Peptoniphilus timonensis JC401	1.7586	30.9	1720	1371
Ahrensia kielensis DSM 5890	3.36477	48.1	3269	3187
Acidithiobacillus sp. GGI-221	3.17493	58.6	4079	4007
Chromobacterium sp. C-61	5.11574	62.7	4780	4186
Sedimentibacter sp. B4	4.10635	38.1	3575	3437
Thiomicrospira sp. Kp2	2.72571	39.9	2494	2411
Alicycliphilus sp. CRZ1	3.00778	69.5	2955	2432
Tsukamurella sp. 1534	4.5034	71	4371	4202
Legionella anisa str. Linanisette	4.31973	38.2	3822	3608
Reyranella massiliensis 521	5.79226	64.8	5673	5515
Oscillibacter ruminantium GH1	3.10824	54.9	2938	2833
Helicobacter heilmannii ASB1.4	1.8046	47.8	1983	1928
Dickeya sp. CSL RW240	4.39741	56.2526	3887	3648
Gordonia sp. KTR9	5.88571	67.5101	5275	5149
Herbaspirillum huttiense subsp. putei IAM 15032	5.77792	62.3	5203	4802
Caldicellulosiruptor sp. F32	2.37864	35.2	2331	2136
Ilumatobacter nonamiensis YM16-303	4.28223	67	4091	3866
Anaerococcus senegalensis JC48	1.79583	28.6	1731	1608
Candidatus Tremblaya phenacola PAVE	0.1715	42.1004	214	175
Yersinia massiliensis CCUG 53443	5.05028	47.3	4554	4413
Mycoplasma parvum str. Indiana	0.564395	27	568	526
Candidatus Nasuia deltocephalinicola str. NAS-ALF	0.112091	17.1	169	137
Providencia sneebia DSM 19967	3.89612	39.0669	3215	3004
Mycoplasma ovis str. Michigan	0.702511	31.7	810	771
Oceanobacillus massiliensis str. N'diop	3.59356	40.5	3441	3277
Aeromicrobium massiliense JC14	3.32212	72.6	3289	3195
Timonella senegalensis JC301	3.00994	61.3	2683	2466
Holdemania massiliensis AP2	3.81148	47	3505	3402
Afipia birgiae 34632	5.33415	60.8	5096	4859
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	1.64148	30.5	1668	1572
Pseudomonas fluorescens Pf0-1	6.43841	60.5	5773	5631
Xanthomonas campestris pv. campestris str. ATCC 33913	5.07619	65.1	4240	4179
Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	4.95137	52.2171	4743	4553
Salmonella enterica subsp. enterica serovar Typhi str. CT18	5.13371	51.8776	4830	4474
Salmonella enterica subsp. enterica serovar Typhi str. Ty2	4.79196	52.1	4716	4453
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	4.58523	52.2	4490	4185
Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S	4.9641	52.217	4814	4664
